Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
Community Aerodrome Radio Station Servcies,DEBRA BLATTLER,"$2,189.48",2010-04-01,C00002753,1,,,Highways & Public Works,Service,Value Driven,Dawson City,P,2012-13
Community Aerodrome Radio Station Servcies,DEBRA BLATTLER,"$4,542.47",2010-04-01,C00002753,2,,,Highways & Public Works,Service,Value Driven,Dawson City,P,2012-13
Airport Maintainer Servcies,DEBRA BLATTLER,$99.55,2010-04-01,C00002754,1,,,Highways & Public Works,Service,Value Driven,Dawson City,P,2012-13
Custodial Services at Dawson City Airport,JOHN T BROOKS O/A,"$13,275.00",2010-04-01,C00003026,2,,,Highways & Public Works,Service,Price Driven,Dawson City,I,2012-13
Business Requirements Documents for ASU & FCS,MICHAEL G TRIBES,$0.00,2010-04-01,C00003091,3,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Waste management for Whitehorse area schools,TLE NAX T AWEI INDUSTRIAL LTD,$995.10,2010-04-01,C00003177,2,,,Education,Service,Price Driven,Whitehorse,P,2012-13
HRMS PeopleSoft System Consulting & Support,38593 YUKON INC O/A,$0.00,2010-04-01,C00003187,2,,,Public Service Commission,Service,Value Driven,Whitehorse,I,2012-13
Carcross Water Delivery,YUKON WATER SERVICES 1989 LTD,"$2,928.86",2010-04-01,C00002888,3,,,Community Services,Service,Price Driven,Carcross,P,2012-13
Community Aerodrome Radio Station Servcies,BILL BURDES O/A,"$4,497.41",2010-04-01,C00002764,1,,,Highways & Public Works,Service,Value Driven,Watson Lake,P,2012-13
Community Aerodrome Radio Station Servcies,BILL BURDES O/A,"$9,326.81",2010-04-01,C00002764,2,,,Highways & Public Works,Service,Value Driven,Watson Lake,P,2012-13
Congenital Anomalies Survellance Info Analysis,SHANNON RYAN O/A,-$812.47,2010-02-05,C00002867,2,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Custodial Services at 5663 and 5631 Mayo,TERRANCE BROWN,"$11,950.04",2010-04-01,C00003682,2,,,Highways & Public Works,Service,Price Driven,Mayo,I,2012-13
"Mosquito Control Program for 2010, 2011, 2012",DG REGAN & ASSOCIATES LTD,"$11,050.00",2010-04-01,C00003410,2,,,Community Services,Service,Value Driven,Other,P,2012-13
Custodial & Garbage Removal RR Air Terminal Bld,JAMES A CHAPMAN O/A,"$1,980.00",2010-04-01,C00003428,2,,,Highways & Public Works,Service,Price Driven,Ross River,I,2012-13
Supply and Delivery of Asphalt Emulsion,POUNDER EMULSIONS LTD,"$212,165.47",2010-05-17,C00003322,9,,,Highways & Public Works,Service,Price Driven,Other,P,2012-13
Supply and Delivery of Asphalt Emulsion,POUNDER EMULSIONS LTD,"$3,124,558.08",2010-05-17,C00003322,10,,,Highways & Public Works,Service,Price Driven,Other,P,2012-13
Supply and Delivery of Asphalt Emulsion,POUNDER EMULSIONS LTD,"-$217,934.26",2010-05-17,C00003322,11,,,Highways & Public Works,Service,Price Driven,Other,P,2012-13
Cleaning Serivces for EMR District Office,MICHAEL MISKELL O/A TO THE T,$0.00,2010-06-01,C00004031,2,,,Highways & Public Works,Service,Price Driven,Teslin,D,2012-13
Bridge Painting Inspection & Quality Assurance Ser,GROUNDTRAX INC.,$0.00,2010-05-19,C00004037,1,,,Highways & Public Works,Service,Value Driven,Pelly Crossing,P,2012-13
"Grass Cutting-Various Buildings, Mayo",IAN SPENCER,"$8,300.00",2010-05-14,C00004109,2,,,Highways & Public Works,Service,Price Driven,Mayo,I,2012-13
