Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
KLUHINI BLDG - LEASE,BLACK STREET INVESTMENTS,"$77,657.98",2015-04-01,C00028389,4,,,Highways & Public Works,Leased Office Space,Price Driven,Whitehorse,D,2025-26
4141 - 4TH AVENUE / 310 JARVIS STREET - LEASE,ALCAN AUTOMOTIVE CENTRE LTD,"$6,186.66",2015-08-01,C00031608,17,,,Highways & Public Works,Leased Office Space,Price Driven,Whitehorse,D,2025-26
4141 - 4TH AVENUE / 310 JARVIS STREET - LEASE,ALCAN AUTOMOTIVE CENTRE LTD,"-$3,093.33",2015-08-01,C00031608,18,,,Highways & Public Works,Leased Office Space,Price Driven,Whitehorse,D,2025-26
Carcross - lease - H&SS / YHC / Justice - Montana Manor,BRUCE & KIM HENRY,"$12,322.00",2018-01-01,C00041078,14,,,Highways & Public Works,Leased Office Space,Price Driven,Carcross,D,2025-26
Air Ambulance Services for Emergency Medical Services,ALKAN AIR LTD,"$31,100,722.40",2018-06-25,C00044426,4,,,Health & Social Services,Air Charter,Request for Proposals,Whitehorse,P,2025-26
Lease Lynn Building - 308 Steele Street - All Floors,LYNN BUILDING LIMITED,"$106,207.34",2019-07-01,C00050431,11,,,Highways & Public Works,Leased Office Space,Price Driven,Whitehorse,D,2025-26
Lease Lynn Building - 308 Steele Street - All Floors,LYNN BUILDING LIMITED,$0.00,2019-07-01,C00050431,12,,,Highways & Public Works,Leased Office Space,Price Driven,Whitehorse,D,2025-26
CKRW Building - 4103 4th Avenue - HSS - Lease,HOUGENS LIMITED,"$31,837.10",2020-06-01,C00054960,2,,,Highways & Public Works,Leased Office Space,Price Driven,Whitehorse,D,2025-26
125 Mackenzie Road - Inuvik NWT - Lease,INUVIK COMMERCIAL PROPERTIES,"$7,271.34",2020-04-01,C00054183,5,,,Highways & Public Works,Leased Office Space,Price Driven,Other-Non Yukon,D,2025-26
125 Mackenzie Road - Inuvik NWT - Lease,INUVIK COMMERCIAL PROPERTIES,"-$3,631.67",2020-04-01,C00054183,6,,,Highways & Public Works,Leased Office Space,Price Driven,Other-Non Yukon,D,2025-26
Supply of Catering Service Klondike Camp 2021/22,FIREWEED CAMPS LTD,"$31,330.00",2021-04-01,C00058526,4,,,Highways & Public Works,Professional Services - others,Request for Proposals,Other,O,2025-26
Maintenance services for ITS and Met Stations,TOTAL NORTH COMMUNICATIONS LTD,"$341,119.55",2021-04-01,C00057898,3,,,Highways & Public Works,Professional Services - others,Request for Proposals,Whitehorse,O,2025-26
Technical Support - Fraser Remote Monitoring and Control,VIVA AUTOMATION LTD,"$29,920.00",2020-10-29,C00059330,3,,,Highways & Public Works,Engineering Services,Value Driven,Other,D,2025-26
103 Platinum Road - Whitehorse - Lease,37405 YUKON INC,"$4,385.00",2021-11-01,C00062348,4,,,Highways & Public Works,Leased Office Space,Price Driven,Whitehorse,D,2025-26
"Construction Administration Services, Carmacks Fire Hall",T-SQUARE ARCHITECTURE LTD,$0.00,2021-07-23,C00061183,5,,,Community Services,Architect Services,Price Driven,Carmacks,D,2025-26
Whistle Bend School Design-Build,KETZA CONSTRUCTION,"$6,632.00",2021-07-29,C00061548,16,,,Highways & Public Works,Construction - building new,Request for Proposals,Whitehorse,O,2025-26
Fence Rental for YDA,SUPER SAVE FENCE RENTALS INC,$980.00,2022-05-01,C00065555,4,,,Highways & Public Works,Goods - General,Price Driven,Whitehorse,D,2025-26
Controls Upgrade Dawson Grader Station,BUILDING SYSTEMS CONSULTING,$0.00,2022-04-22,C00065317,1,,,Highways & Public Works,Engineering Services,Value Driven,Dawson City,D,2025-26
Horwoods Mall - 2nd Floor - Whitehorse - Lease,46788 YUKON INC,$795.00,2022-01-31,C00063795,5,,,Highways & Public Works,Leased Office Space,Price Driven,Whitehorse,D,2025-26
Remote Patient Care Implementation,CLOUD DIAGNOSTICS CANADA ULC,$0.00,2022-04-01,C00063876,2,,,Health & Social Services,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Care and Maintenance,BOREAL ENGINEERING LTD,"$5,102,357.38",2022-10-15,C00067909,2,,,"Energy, Mines & Resources",General consulting services,Request for Proposals,Other,O,2025-26
"Remote Monitoring and Control for Fraser Camp, BC",DORWARD ENGINEERING SERVICES,"$27,210.00",2022-08-30,C00067976,2,,,Highways & Public Works,Engineering Services,Value Driven,Other-Non Yukon,D,2025-26
Municipal Board Administrative Support Services,841403 YUKON INC O/A,$729.15,2022-06-30,C00066786,1,,,Community Services,General consulting services,Value Driven,Whitehorse,D,2025-26
Municipal Board Administrative Support Services,841403 YUKON INC O/A,$0.00,2022-06-30,C00066786,2,,,Community Services,General consulting services,Value Driven,Whitehorse,D,2025-26
Accommodations for Yukon Education - TESLIN,34149 YUKON INC O/A,"$2,200.00",2022-08-25,C00067536,1,,,Education,"Housing, accommodation, hotels",Price Driven,Whitehorse,D,2025-26
Ernst & Young Discovery,ERNST AND YOUNG LLP,$0.00,2022-10-03,C00067388,5,,,Health & Social Services,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Medigent Annual License Renewal,MAXIMUS CANADA SERVICES INC,"$2,189,556.76",2022-04-01,C00066113,1,,,Health & Social Services,IT System Maintenance,Value Driven,Whitehorse,D,2025-26
Unit b 2251 2nd Avenue - Whitehorse - Lease,838922 YUKON INC,"$18,700.84",2022-06-08,C00066532,3,,,Highways & Public Works,Leased Office Space,Price Driven,Whitehorse,D,2025-26
49C Waterfront - Whitehorse - Lease,838922 YUKON INC,"$8,451.86",2022-06-08,C00066568,2,,,Highways & Public Works,Leased Office Space,Price Driven,Whitehorse,D,2025-26
Environmental Study Porter Cr. Km 1434.2-1435.5 Alaska Hwy.,ECOLOGICAL LOGISTICS,$0.00,2022-06-06,C00066203,2,,,Highways & Public Works,Environmental Services/ studies,Price Driven,Whitehorse,D,2025-26
Waterfront Place - 49B Waterfront Place Whitehorse - lease,838922 YUKON INC,"$23,714.82",2022-06-08,C00066534,1,,,Highways & Public Works,Leased Office Space,Price Driven,Whitehorse,D,2025-26
Professional Cleaning Services for YBIC,S SAMYNADEN O/A TORNADO,$417.00,2022-05-24,C00066056,4,,,Highways & Public Works,Custodial and related services,Request for Proposals,Whitehorse,O,2025-26
Nisutlin Bay Bridge Replacement,GRAHAM INFRASTRUCTURE LIMITED,$0.00,2022-05-03,C00066129,9,,RFQ-2020-10-152,Highways & Public Works,Construction - road,Request for Proposals,Teslin,O,2025-26
Nisutlin Bay Bridge Replacement,GRAHAM INFRASTRUCTURE LIMITED,$0.05,2022-05-03,C00066129,10,,RFQ-2020-10-152,Highways & Public Works,Construction - road,Request for Proposals,Teslin,O,2025-26
Media Services and Creative Direction,AASMAN BRAND COMMUNICATIONS,$0.00,2023-04-01,C00071018,2,,,"Energy, Mines & Resources",Advertising,Value Driven,Whitehorse,D,2025-26
Consultations,HARRIS & CO LLP,$0.00,2023-04-01,C00070653,2,,,Public Service Commission,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Whistle Bend South Site Prep Planning and Master Planning,3 PIKAS DEVELOPMENT STUDIO INC,$0.00,2023-03-17,C00070368,4,,RSO-RFP-2021-11-1166-1,Community Services,Professional Services - others,Standing Offer Agreement (RFP),Whitehorse,O,2025-26
Professional Cleaning Services for Zone B,SONY JANITORIAL INC,"$82,008.00",2023-04-03,C00070618,3,,,Highways & Public Works,Custodial and related services,Request for Proposals,Whitehorse,O,2025-26
"Courier Service, Bank Deposits",ROBERT TWA O/A,"$6,650.00",2023-04-01,C00070707,2,,,Finance,Professional Services - others,Value Driven,Whitehorse,D,2025-26
Cold Climate Air Source Heat Pump Pilot,RDH BUILDING SCIENCE INC,$0.00,2023-01-08,C00069400,3,,,"Energy, Mines & Resources",General consulting services,Request for Proposals,Whitehorse,O,2025-26
Expand Biomass System From Whitehorse Correctional Centre,KETZA CONSTRUCTION,"-$112,044.03",2022-12-05,C00069150,6,,,Highways & Public Works,Construction - utilities / infrastructure new,Request for Proposals,Whitehorse,O,2025-26
Refrigerator Retirement Program,OVERLAND WEST FREIGHT LINES,$0.00,2023-02-02,C00069644,2,,,"Energy, Mines & Resources",Freight - transport - courier services,Price Driven,Whitehorse,D,2025-26
"Gender Inclusive Washroom Design, Beringia Centre and Y.A.C",KOBAYASHI AND ZEDDA ARCHITECTS,"$32,500.00",2022-12-14,C00069034,4,,,Highways & Public Works,Architect Services,Request for Proposals,Whitehorse,O,2025-26
MAYO- 7TH AVE EXT - MASTER PLANNING,WSP CANADA INC,$0.00,2023-03-08,C00070247,5,,2021-11-1166-4,Community Services,Professional Services - others,Standing Offer Agreement (RFP),Mayo,O,2025-26
Physician Services to Carmacks,REBECCA BARNES PROFESSIONAL,"$30,300.48",2023-06-01,C00069793,1,,,Health & Social Services,Physician Services under ACT,Value Driven,Carmacks,D,2025-26
"307 Black Street, Berksa Building - Whitehorse - lease",BLACK STREET INVESTMENTS,"$68,903.62",2022-12-31,C00069813,4,,,Highways & Public Works,Leased Office Space,Price Driven,Whitehorse,D,2025-26
ATTENDANT SERVICES AT DEEP CREEK SOLID WASTE FACILITY,ACC CLEANING SERVICES INC,"$154,974.00",2023-04-01,C00070317,2,,,Community Services,Waste management,Request for Proposals,Carcross,O,2025-26
Physician Services RCC.,DR DEREK BRYANT PROFESSIONAL,"$189,632.28",2023-06-01,C00069869,1,,,Health & Social Services,Physician Services under ACT,Value Driven,Whitehorse,D,2025-26
Yukon University Electric Thermal Storage Unit Installation,ARCRITE NORTHERN LTD,$0.00,2022-11-27,C00068667,3,,,Highways & Public Works,Construction - utilities / infrastructure new,Price Driven,Whitehorse,D,2025-26
Mechanical Consultant Water Treatment System Automation,BUILDING SYSTEMS CONSULTING,"-$10,343.00",2022-10-26,C00068591,3,,,Highways & Public Works,Engineering Services,Value Driven,Other-Non Yukon,D,2025-26
Construction Admin - Swift River Water Treatment Plant,ASSOCIATED ENGINEERING,$485.36,2022-11-01,C00068604,2,,,Highways & Public Works,Engineering Services,Value Driven,Swift River,D,2025-26
Caribou data cleaning and organization,TECHKNOW SOFTWARE CORP,$0.00,2022-12-05,C00068859,3,,,Environment,Professional Services - others,Value Driven,Whitehorse,D,2025-26
Johnson Controls Maintenance Contract,JOHNSON CONTROLS L P,"-$10,480.00",2023-09-15,C00073294,2,,,Highways & Public Works,Construction - building maintenance,Price Driven,Other,D,2025-26
Consultant Services - EWES Replacement,KOBAYASHI AND ZEDDA ARCHITECTS,"$8,855.00",2023-08-16,C00073365,13,,,Highways & Public Works,Architect Services,Request for Proposals,Whitehorse,O,2025-26
Building Access Monitoring,ADVANCE SECURITY AND,"-$8,310.14",2023-08-31,C00073457,2,,,Community Services,Professional Services - others,Value Driven,Whitehorse,D,2025-26
Physician services to Dawson City,DR. ADAM SHERRARD,"$276,232.49",2023-07-08,C00071688,1,,,Health & Social Services,Physician Services under ACT,Value Driven,Dawson City,D,2025-26
A1 Courier Services,OVERLAND WEST FREIGHT LINES,"$7,529.03",2023-05-23,C00071733,3,,,Environment,Freight - transport - courier services,Price Driven,Whitehorse,D,2025-26
Honorarium for RFP-2022-7-1805,COLAS WESTERN CANADA INC O/A,$0.00,2023-06-07,C00072020,1,,RFQ-2021-5-707,Highways & Public Works,Professional Services - others,Standing Offer Agreement (RFP),Whitehorse,I,2025-26
Food trays and sealing film,CIMA-PAK CORPORATION,$0.00,2023-06-14,C00072238,4,,RFB-2023-5-2542,Health & Social Services,Goods - General,Standing Offer Agreement (RFB),Whitehorse,O,2025-26
Meeting minutes Nisutlin Bay Bridge,536403 YUKON INC,$0.00,2023-05-08,C00071701,2,,,Highways & Public Works,Professional Services - others,Price Driven,Teslin,D,2025-26
Dawson City - lease - EMR - Madame Tremblay Building,TR'ONDEK HWECH'IN COMMUNITY,"$4,000.00",2023-05-01,C00071950,2,,,Highways & Public Works,Leased Office Space,Price Driven,Dawson City,D,2025-26
Water Bottle Delivery Services,YUKON SPRING INC,$600.00,2023-05-19,C00071752,2,,,Community Services,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Ross River Solid Waste Facility Maintenance,ERIK GULSTAD O/A ERIK'S,"$95,450.00",2023-06-01,C00072000,2,,,Community Services,Waste management,Request for Proposals,Ross River,O,2025-26
Geo-Exchange Pipe Pigging Program - Mayo,WSP CANADA INC,"$7,500.00",2023-05-29,C00071803,4,,,Community Services,Engineering Services,Price Driven,Mayo,D,2025-26
Watson Lake Locum Physician,BEN LEWIS PROFESSIONAL,"$224,852.20",2023-07-08,C00071804,1,,,Health & Social Services,Physician Services under ACT,Value Driven,Watson Lake,D,2025-26
Watson Lake Locum Physician,LINDSEY CAMPBELL PROFESSIONAL,"$198,057.34",2023-07-08,C00071805,1,,,Health & Social Services,Physician Services under ACT,Value Driven,Watson Lake,D,2025-26
Enviro Services at 3 YG Owned Sites in Old Crow,STANTEC CONSULTING LTD,$0.00,2023-08-11,C00072819,2,,RFQ-2021-1-397,Environment,Environmental Services/ studies,Request for Bids,Old Crow,I,2025-26
Technical Advisory Services,STANTEC CONSULTING LTD,$0.00,2023-07-12,C00072314,3,,,Highways & Public Works,Engineering Services,Price Driven,Whitehorse,D,2025-26
Technical Advisory Services,TETRA TECH CANADA INC,$0.00,2023-06-22,C00072316,2,,,Highways & Public Works,Engineering Services,Price Driven,Whitehorse,D,2025-26
Technical Advisory Services,ASSOCIATED ENGINEERING,$0.00,2023-06-22,C00072318,2,,,Highways & Public Works,Engineering Services,Price Driven,Whitehorse,D,2025-26
Privacy Impact Assessment,PRIVACYWORKS CONSULTING INC,"$1,275.00",2023-07-14,C00072519,3,,,Education,Education related services,Value Driven,Other-Non Yukon,D,2025-26
SmartNet Annual Renewal,CHARTER TELECOM INC,"$4,302.12",2023-05-16,C00071421,1,,N/A,Education,Goods - Software/IT,Price Driven,Whitehorse,D,2025-26
Audio/Media Advertisement,KLONDIKE BROADCASTING COMPANY,$0.00,2023-04-24,C00071152,1,,,Environment,Advertising,Price Driven,Whitehorse,D,2025-26
Audio Media Advertising,NORTHERN NATIVE BROADCASTING,$0.00,2023-04-24,C00071153,1,,,Environment,Advertising,Price Driven,Whitehorse,D,2025-26
Physician Services to the Kwanlin Dun Health Centre,DR JAMES VAN CAMP,"$68,119.44",2023-05-01,C00071327,1,,,Health & Social Services,Physician Services under ACT,Value Driven,Whitehorse,D,2025-26
WBES Traffic Lights Design,ASSOCIATED ENGINEERING,$0.00,2023-05-16,C00071482,2,,,Highways & Public Works,Professional Services - others,Price Driven,Whitehorse,D,2025-26
FIRE WEATHER FORECAST SERVICES,WEATHERLOGICS INC,"$55,590.00",2023-05-15,C00071598,1,,,Community Services,Environmental Services/ studies,Request for Proposals,Whitehorse,O,2025-26
